GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
demo,com.example.demo.service,DataLoader,9,31,0,0,3,8,3,2,3,2
demo,com.example.demo.controller,FireStationController,4,238,4,10,1,50,4,17,0,14
demo,com.example.demo.controller,PhoneAlertController,0,42,0,0,0,11,0,4,0,4
demo,com.example.demo.controller,CommunityEmailController,0,22,0,0,0,6,0,3,0,3
demo,com.example.demo.controller,ChildAlertController,2,127,2,10,1,23,2,13,0,9
demo,com.example.demo.controller,FireController,4,122,5,5,0,23,5,7,0,7
demo,com.example.demo.controller,PersonInfoController,3,107,4,10,0,20,4,7,0,4
demo,com.example.demo.controller,FloodController,3,118,4,6,0,22,4,8,0,7
demo,com.example.demo.controller,PersonController,0,159,3,15,0,30,3,13,0,7
demo,com.example.demo.controller,MedicalRecordController,0,151,3,15,0,28,3,13,0,7
demo,com.example.demo.model,Person,14,82,0,0,5,26,4,16,4,16
demo,com.example.demo.model,MedicalRecord,0,56,0,0,0,20,0,12,0,12
demo,com.example.demo.model,Data,12,24,0,0,5,10,1,7,1,7
demo,com.example.demo.model,FireStation,0,26,0,0,0,11,0,6,0,6
demo,com.example.demo.modelResponse,PersonInfoResponse,28,45,0,0,14,16,7,8,7,8
demo,com.example.demo.modelResponse,PersonResponse,28,15,0,0,12,6,8,1,8,1
demo,com.example.demo.modelResponse,ChildAlertResponse,16,27,0,0,8,10,4,5,4,5
demo,com.example.demo.modelResponse,PersonInfo,28,45,0,0,14,16,7,8,7,8
demo,com.example.demo.modelResponse,FireStationResponse,12,21,0,0,6,8,3,4,3,4
demo,com.example.demo.modelResponse,FireResponse,8,15,0,0,4,6,2,3,2,3
demo,com.example.demo.modelResponse,FloodResponse,24,39,0,0,12,14,6,7,6,7
demo,com.example.demo,DemoApplication,5,3,0,0,2,1,1,1,1,1
